College ID	Branch Code	Branch Name	Approved Intake	Year of starting course	NBA Accredited	Accredition Valid upto
1114	IT	Information Technology	60	1998	#	FEB2012
1114	ME	Mechanical Engineering	120	1998	#	FEB2012
1115	AU	Automobile Engineering	60	1999	No	--
1115	CH	Chemical Engineering	40	1995	y	AUG2015
1115	CS	Computer science and engineering	120	1995	No	--
1115	EE	Electrical and Electronics Engineering	60	1993	y	AUG2015
1115	EC	Electronics and Communication	90	1993	y	AUG2015
1115	IT	Information Technology	90	1997	No	--
1115	ME	Mechanical Engineering	60	1993	No	--
1116	CE	Civil Engineering	60	2003	#	MAY2012
1116	CS	Computer science and engineering	120	2000	#	MAY2012
1116	EE	Electrical and Electronics Engineering	60	2000	No	--
1116	EC	Electronics and Communication	120	2002	#	MAY2012
1116	ME	Mechanical Engineering	180	2005	No	--
1118	BM	Bio Medical Engineering	60	2007	No	--
1118	CE	Civil Engineering	60	2009	No	--
1118	CS	Computer science and engineering	120	2000	YES	AUG2018
1118	EE	Electrical and Electronics Engineering	120	2001	#	MAR2010
1118	EC	Electronics and Communication	120	2000	YES	AUG2018
1118	IT	Information Technology	120	2000	#	JUL2009
1118	ME	Mechanical Engineering	120	2004	No	--
1120	AU	Automobile Engineering	60	2012	No	--
1120	CE	Civil Engineering	120	2007	No	--
1120	CS	Computer science and engineering	180	1995	YES	JAN2015
1120	EE	Electrical and Electronics Engineering	120	1995	No	--
1120	EC	Electronics and Communication	180	1995	YES	JAN2015
1120	EI	Electronics and Instrumentation engineering	60	2002	YES	JAN2015
1120	IT	Information Technology	60	1999	YES	JAN2015
1120	ME	Mechanical Engineering	240	1999	YES	JAN2015
1120	PR	Production Engineering	60	2008	No	--
1121	CE	Civil Engineering	60	2002	No	--
1121	CS	Computer science and engineering	60	2002	No	--
1121	EE	Electrical and Electronics Engineering	60	2002	No	--
1121	EC	Electronics and Communication	90	2002	No	--
1121	ME	Mechanical Engineering	120	2009	No	--
1122	BT	Bio-Technology	60	2006	No	--
1122	CH	Chemical Engineering	30	2002	No	--
1122	CE	Civil Engineering	120	2002	#	jan2011
1122	CS	Computer science and engineering	120	2005	No	--
1122	EE	Electrical and Electronics Engineering	60	2008	No	--
1122	EC	Electronics and Communication	120	2002	No	jan2011
1122	IT	Information Technology	60	2006	No	--
1122	ME	Mechanical Engineering	120	2009	No	--
1123	AE	Aeronautical Engineering	60	2007	No	--
1123	CE	Civil Engineering	60	2011	No	--
1123	CS	Computer science and engineering	90	2005	No	--
1123	EE	Electrical and Electronics Engineering	30	2005	No	--
1123	EC	Electronics and Communication	90	2005	No	--
1123	IT	Information Technology	30	2007	No	--
1123	ME	Mechanical Engineering	120	2005	No	--
1124	AE	Aeronautical Engineering	60	2007	No	--
1124	CE	Civil Engineering	60	2012	No	--
1124	CS	Computer science and engineering	60	2006	No	--
1124	EE	Electrical and Electronics Engineering	60	2012	No	--
1124	EC	Electronics and Communication	60	2006	No	--
1124	MR	Marine Engineering	40	2006	No	--
1124	ME	Mechanical Engineering	60	2008	No	--
1125	AE	Aeronautical Engineering	60	2008	No	--
1125	CE	Civil Engineering	60	2012	No	--
1125	CS	Computer science and engineering	60	2008	No	--
1125	EE	Electrical and Electronics Engineering	60	2013	No	--
1125	EC	Electronics and Communication	60	2008	No	--
1125	ME	Mechanical Engineering	60	2009	No	--
1126	CE	Civil Engineering	60	2013	No	--
1126	CS	Computer science and engineering	120	2008	No	--
1126	EE	Electrical and Electronics Engineering	60	2008	No	--
1126	EC	Electronics and Communication	120	2008	No	--
1126	IT	Information Technology	60	2008	No	--
1126	ME	Mechanical Engineering	180	2009	No	--
1127	AE	Aeronautical Engineering	60	2011	No	--
1127	AR	Architecture	80	2012	No	--
1127	CE	Civil Engineering	60	2010	No	--
1127	CS	Computer science and engineering	120	2008	No	--
1127	EE	Electrical and Electronics Engineering	60	2009	No	--
1127	EC	Electronics and Communication	180	2008	No	--
1127	IT	Information Technology	60	2008	No	--
1127	ME	Mechanical Engineering	180	2008	No	--
1128	CS	Computer science and engineering	120	2008	No	--
1128	EE	Electrical and Electronics Engineering	60	2008	No	--
1128	EC	Electronics and Communication	180	2008	No	--
1128	ME	Mechanical Engineering	120	2010	No	--
1130	AR	Architecture	120	2011	No	--
1131	CE	Civil Engineering	60	2009	No	--
1131	EE	Electrical and Electronics Engineering	120	2009	No	--
1131	EC	Electronics and Communication	120	2009	No	--
1131	ME	Mechanical Engineering	120	2009	No	--
1132	AR	Architecture	80	2011	No	--
1133	CE	Civil Engineering	60	2012	No	--
1133	CS	Computer science and engineering	60	2012	No	--
1133	EE	Electrical and Electronics Engineering	60	2012	No	--
1133	EC	Electronics and Communication	120	2012	No	--
1133	ME	Mechanical Engineering	120	2012	No	--
1134	AR	Architecture	80	2011	No	--
1135	AR	Architecture	80	2011	No	--
1136	CE	Civil Engineering	60	2012	No	--
1136	CS	Computer science and engineering	60	2012	No	--
1136	EE	Electrical and Electronics Engineering	60	2012	No	--
1136	EC	Electronics and Communication	60	2012	No	--
1136	ME	Mechanical Engineering	60	2012	No	--
1137	CE	Civil Engineering	60	2012	No	--
1137	CS	Computer science and engineering	60	2012	No	--
1137	EE	Electrical and Electronics Engineering	60	2012	No	--
1137	EC	Electronics and Communication	60	2012	No	--
1137	ME	Mechanical Engineering	60	2012	No	--
1138	AR	Architecture	80	2012	No	--
1140	CS	Computer science and engineering	60	2011	No	--
1140	EE	Electrical and Electronics Engineering	60	2011	No	--
1140	EC	Electronics and Communication	120	2011	No	--
1140	IT	Information Technology	60	2011	No	--
1140	ME	Mechanical Engineering	120	2011	No	--
1141	CE	Civil Engineering	60	2011	No	--
1141	CS	Computer science and engineering	60	2011	No	--
1141	EE	Electrical and Electronics Engineering	60	2011	No	--
1141	EC	Electronics and Communication	120	2011	No	--
1141	ME	Mechanical Engineering	120	2011	No	--
1142	AR	Architecture	80	2012	No	--
1143	CE	Civil Engineering	60	2012	No	--
1143	CS	Computer science and engineering	60	2012	No	--
1143	EE	Electrical and Electronics Engineering	60	2012	No	--
1143	EC	Electronics and Communication	60	2012	No	--
1143	ME	Mechanical Engineering	60	2012	No	--
1144	AR	Architecture	40	2012	No	--
1145	AR	Architecture	40	2012	No	--
1146	AR	Architecture	40	2012	No	--
1149	CS	Computer science and engineering	120	2011	No	--
1149	EE	Electrical and Electronics Engineering	120	2011	No	--
1149	EC	Electronics and Communication	120	2011	No	--
1149	IT	Information Technology	60	2011	No	--
1149	ME	Mechanical Engineering	120	2011	No	--
1201	CE	Civil Engineering	60	2009	No	--
1201	CS	Computer science and engineering	90	2000	No	--
1201	EE	Electrical and Electronics Engineering	60	2005	No	--
1201	EC	Electronics and Communication	120	2000	No	--
1201	IT	Information Technology	30	2000	No	--
1201	ME	Mechanical Engineering	60	2009	No	--
1202	AE	Aeronautical Engineering	60	2013	No	--
1202	CE	Civil Engineering	120	2009	No	--
1202	CS	Computer science and engineering	120	2001	#	apr2012
1202	EE	Electrical and Electronics Engineering	120	2002	#	apr2012
1202	EC	Electronics and Communication	180	2001	#	apr2012
1202	IT	Information Technology	120	2001	No	--
1202	ME	Mechanical Engineering	120	2009	No	--
1204	CS	Computer science and engineering	60	1998	No	--
1204	EE	Electrical and Electronics Engineering	60	1998	No	--
1204	EC	Electronics and Communication	60	1998	No	--
1205	CE	Civil Engineering	30	2005	No	--
1205	CS	Computer science and engineering	90	2001	No	--
